,SUL name,HypSizePercent,CTT,Total cost
54,TCP_FreeBSD_Server.dot,98.18181818181819,HadsInt,4449162
54,TCP_FreeBSD_Server.dot,100.0,HadsInt,4661821
97,TCP_FreeBSD_Server.dot,1.8181818181818181,W,26
97,TCP_FreeBSD_Server.dot,10.909090909090908,W,907
97,TCP_FreeBSD_Server.dot,12.727272727272727,W,2618
97,TCP_FreeBSD_Server.dot,14.545454545454545,W,6698
97,TCP_FreeBSD_Server.dot,21.818181818181817,W,102176
97,TCP_FreeBSD_Server.dot,25.454545454545453,W,113346
97,TCP_FreeBSD_Server.dot,27.27272727272727,W,142140
97,TCP_FreeBSD_Server.dot,29.09090909090909,W,158898
97,TCP_FreeBSD_Server.dot,30.909090909090907,W,324526
97,TCP_FreeBSD_Server.dot,32.72727272727273,W,387271
97,TCP_FreeBSD_Server.dot,34.54545454545455,W,425642
97,TCP_FreeBSD_Server.dot,36.36363636363637,W,465230
97,TCP_FreeBSD_Server.dot,40.0,W,524170
97,TCP_FreeBSD_Server.dot,41.81818181818181,W,525009
97,TCP_FreeBSD_Server.dot,45.45454545454545,W,689232
97,TCP_FreeBSD_Server.dot,49.09090909090909,W,719035
97,TCP_FreeBSD_Server.dot,50.90909090909091,W,779441
97,TCP_FreeBSD_Server.dot,52.72727272727272,W,989009
97,TCP_FreeBSD_Server.dot,54.54545454545454,W,1007802
97,TCP_FreeBSD_Server.dot,56.36363636363636,W,2468818
97,TCP_FreeBSD_Server.dot,60.0,W,3332376
97,TCP_FreeBSD_Server.dot,61.81818181818181,W,4334945
97,TCP_FreeBSD_Server.dot,63.63636363636363,W,6536606
97,TCP_FreeBSD_Server.dot,65.45454545454545,W,6968961
97,TCP_FreeBSD_Server.dot,67.27272727272727,W,7256158
97,TCP_FreeBSD_Server.dot,76.36363636363637,W,8660226
97,TCP_FreeBSD_Server.dot,78.18181818181819,W,9313334
97,TCP_FreeBSD_Server.dot,81.81818181818183,W,9696250
97,TCP_FreeBSD_Server.dot,83.63636363636363,W,10334788
97,TCP_FreeBSD_Server.dot,85.45454545454545,W,12872006
97,TCP_FreeBSD_Server.dot,87.27272727272727,W,13154819
97,TCP_FreeBSD_Server.dot,89.0909090909091,W,14995484
97,TCP_FreeBSD_Server.dot,96.36363636363636,W,15976669
97,TCP_FreeBSD_Server.dot,100.0,W,16429397
212,TCP_FreeBSD_Server.dot,1.8181818181818181,Hsi,26
212,TCP_FreeBSD_Server.dot,10.909090909090908,Hsi,907
212,TCP_FreeBSD_Server.dot,12.727272727272727,Hsi,2509
212,TCP_FreeBSD_Server.dot,14.545454545454545,Hsi,18248
212,TCP_FreeBSD_Server.dot,21.818181818181817,Hsi,62714
212,TCP_FreeBSD_Server.dot,25.454545454545453,Hsi,83412
212,TCP_FreeBSD_Server.dot,27.27272727272727,Hsi,103161
212,TCP_FreeBSD_Server.dot,29.09090909090909,Hsi,121233
212,TCP_FreeBSD_Server.dot,32.72727272727273,Hsi,153856
212,TCP_FreeBSD_Server.dot,34.54545454545455,Hsi,201637
212,TCP_FreeBSD_Server.dot,36.36363636363637,Hsi,218742
212,TCP_FreeBSD_Server.dot,38.18181818181819,Hsi,220365
212,TCP_FreeBSD_Server.dot,40.0,Hsi,267417
212,TCP_FreeBSD_Server.dot,41.81818181818181,Hsi,334732
212,TCP_FreeBSD_Server.dot,43.63636363636363,Hsi,378967
212,TCP_FreeBSD_Server.dot,45.45454545454545,Hsi,555086
212,TCP_FreeBSD_Server.dot,47.27272727272727,Hsi,596660
212,TCP_FreeBSD_Server.dot,50.90909090909091,Hsi,615489
212,TCP_FreeBSD_Server.dot,52.72727272727272,Hsi,615979
212,TCP_FreeBSD_Server.dot,56.36363636363636,Hsi,707182
212,TCP_FreeBSD_Server.dot,58.18181818181818,Hsi,739665
212,TCP_FreeBSD_Server.dot,60.0,Hsi,867846
212,TCP_FreeBSD_Server.dot,61.81818181818181,Hsi,1168498
212,TCP_FreeBSD_Server.dot,63.63636363636363,Hsi,1234960
212,TCP_FreeBSD_Server.dot,65.45454545454545,Hsi,1238444
212,TCP_FreeBSD_Server.dot,67.27272727272727,Hsi,1245361
212,TCP_FreeBSD_Server.dot,78.18181818181819,Hsi,1363563
212,TCP_FreeBSD_Server.dot,81.81818181818183,Hsi,1804462
212,TCP_FreeBSD_Server.dot,85.45454545454545,Hsi,1888519
212,TCP_FreeBSD_Server.dot,89.0909090909091,Hsi,2126396
212,TCP_FreeBSD_Server.dot,90.9090909090909,Hsi,2324525
212,TCP_FreeBSD_Server.dot,94.54545454545455,Hsi,2420059
212,TCP_FreeBSD_Server.dot,98.18181818181819,Hsi,2430035
212,TCP_FreeBSD_Server.dot,100.0,Hsi,2625998
315,TCP_FreeBSD_Server.dot,1.8181818181818181,Wp,26
315,TCP_FreeBSD_Server.dot,10.909090909090908,Wp,907
315,TCP_FreeBSD_Server.dot,12.727272727272727,Wp,2513
315,TCP_FreeBSD_Server.dot,14.545454545454545,Wp,29092
315,TCP_FreeBSD_Server.dot,21.818181818181817,Wp,88981
315,TCP_FreeBSD_Server.dot,25.454545454545453,Wp,89748
315,TCP_FreeBSD_Server.dot,27.27272727272727,Wp,115092
315,TCP_FreeBSD_Server.dot,29.09090909090909,Wp,131852
315,TCP_FreeBSD_Server.dot,30.909090909090907,Wp,225420
315,TCP_FreeBSD_Server.dot,32.72727272727273,Wp,288516
315,TCP_FreeBSD_Server.dot,34.54545454545455,Wp,326869
315,TCP_FreeBSD_Server.dot,36.36363636363637,Wp,362515
315,TCP_FreeBSD_Server.dot,40.0,Wp,365313
315,TCP_FreeBSD_Server.dot,43.63636363636363,Wp,461630
315,TCP_FreeBSD_Server.dot,45.45454545454545,Wp,473196
315,TCP_FreeBSD_Server.dot,47.27272727272727,Wp,601731
315,TCP_FreeBSD_Server.dot,50.90909090909091,Wp,608638
315,TCP_FreeBSD_Server.dot,52.72727272727272,Wp,753593
315,TCP_FreeBSD_Server.dot,54.54545454545454,Wp,754284
315,TCP_FreeBSD_Server.dot,56.36363636363636,Wp,1161389
315,TCP_FreeBSD_Server.dot,60.0,Wp,1374660
315,TCP_FreeBSD_Server.dot,61.81818181818181,Wp,1937948
315,TCP_FreeBSD_Server.dot,63.63636363636363,Wp,2659342
315,TCP_FreeBSD_Server.dot,65.45454545454545,Wp,2908343
315,TCP_FreeBSD_Server.dot,67.27272727272727,Wp,3198193
315,TCP_FreeBSD_Server.dot,70.9090909090909,Wp,3881898
315,TCP_FreeBSD_Server.dot,72.72727272727273,Wp,4029296
315,TCP_FreeBSD_Server.dot,83.63636363636363,Wp,4374543
315,TCP_FreeBSD_Server.dot,85.45454545454545,Wp,5064104
315,TCP_FreeBSD_Server.dot,87.27272727272727,Wp,5527823
315,TCP_FreeBSD_Server.dot,89.0909090909091,Wp,6992826
315,TCP_FreeBSD_Server.dot,90.9090909090909,Wp,7973748
315,TCP_FreeBSD_Server.dot,92.72727272727272,Wp,8264033
315,TCP_FreeBSD_Server.dot,96.36363636363636,Wp,8576983
315,TCP_FreeBSD_Server.dot,98.18181818181819,Wp,8809302
315,TCP_FreeBSD_Server.dot,100.0,Wp,8813973
427,TCP_FreeBSD_Server.dot,1.8181818181818181,H,26
427,TCP_FreeBSD_Server.dot,10.909090909090908,H,907
427,TCP_FreeBSD_Server.dot,12.727272727272727,H,2438
427,TCP_FreeBSD_Server.dot,14.545454545454545,H,26811
427,TCP_FreeBSD_Server.dot,23.636363636363637,H,40768
427,TCP_FreeBSD_Server.dot,25.454545454545453,H,41200
427,TCP_FreeBSD_Server.dot,27.27272727272727,H,100519
427,TCP_FreeBSD_Server.dot,30.909090909090907,H,110867
427,TCP_FreeBSD_Server.dot,32.72727272727273,H,122348
427,TCP_FreeBSD_Server.dot,34.54545454545455,H,204207
427,TCP_FreeBSD_Server.dot,36.36363636363637,H,234381
427,TCP_FreeBSD_Server.dot,38.18181818181819,H,241591
427,TCP_FreeBSD_Server.dot,40.0,H,265869
427,TCP_FreeBSD_Server.dot,50.90909090909091,H,319057
427,TCP_FreeBSD_Server.dot,52.72727272727272,H,425309
427,TCP_FreeBSD_Server.dot,54.54545454545454,H,481695
427,TCP_FreeBSD_Server.dot,56.36363636363636,H,579740
427,TCP_FreeBSD_Server.dot,58.18181818181818,H,580901
427,TCP_FreeBSD_Server.dot,60.0,H,598787
427,TCP_FreeBSD_Server.dot,63.63636363636363,H,618612
427,TCP_FreeBSD_Server.dot,65.45454545454545,H,804945
427,TCP_FreeBSD_Server.dot,67.27272727272727,H,832117
427,TCP_FreeBSD_Server.dot,69.0909090909091,H,961487
427,TCP_FreeBSD_Server.dot,72.72727272727273,H,962635
427,TCP_FreeBSD_Server.dot,74.54545454545455,H,1264309
427,TCP_FreeBSD_Server.dot,76.36363636363637,H,1305148
427,TCP_FreeBSD_Server.dot,78.18181818181819,H,1485291
427,TCP_FreeBSD_Server.dot,80.0,H,1520822
427,TCP_FreeBSD_Server.dot,81.81818181818183,H,1851441
427,TCP_FreeBSD_Server.dot,87.27272727272727,H,1901584
427,TCP_FreeBSD_Server.dot,89.0909090909091,H,1970462
427,TCP_FreeBSD_Server.dot,90.9090909090909,H,2561845
427,TCP_FreeBSD_Server.dot,94.54545454545455,H,2733792
427,TCP_FreeBSD_Server.dot,96.36363636363636,H,2930305
427,TCP_FreeBSD_Server.dot,98.18181818181819,H,2998743
427,TCP_FreeBSD_Server.dot,100.0,H,3176272
475,TCP_FreeBSD_Server.dot,1.8181818181818181,SPYH,26
475,TCP_FreeBSD_Server.dot,10.909090909090908,SPYH,907
475,TCP_FreeBSD_Server.dot,12.727272727272727,SPYH,1977
475,TCP_FreeBSD_Server.dot,14.545454545454545,SPYH,62292
475,TCP_FreeBSD_Server.dot,18.181818181818183,SPYH,64625
475,TCP_FreeBSD_Server.dot,25.454545454545453,SPYH,71609
475,TCP_FreeBSD_Server.dot,27.27272727272727,SPYH,191410
475,TCP_FreeBSD_Server.dot,29.09090909090909,SPYH,198941
475,TCP_FreeBSD_Server.dot,30.909090909090907,SPYH,214044
475,TCP_FreeBSD_Server.dot,32.72727272727273,SPYH,221072
475,TCP_FreeBSD_Server.dot,34.54545454545455,SPYH,246823
475,TCP_FreeBSD_Server.dot,36.36363636363637,SPYH,460292
475,TCP_FreeBSD_Server.dot,43.63636363636363,SPYH,489056
475,TCP_FreeBSD_Server.dot,47.27272727272727,SPYH,600131
475,TCP_FreeBSD_Server.dot,52.72727272727272,SPYH,603707
475,TCP_FreeBSD_Server.dot,54.54545454545454,SPYH,604444
475,TCP_FreeBSD_Server.dot,56.36363636363636,SPYH,617699
475,TCP_FreeBSD_Server.dot,60.0,SPYH,705373
475,TCP_FreeBSD_Server.dot,63.63636363636363,SPYH,777947
475,TCP_FreeBSD_Server.dot,65.45454545454545,SPYH,882505
475,TCP_FreeBSD_Server.dot,67.27272727272727,SPYH,968383
475,TCP_FreeBSD_Server.dot,69.0909090909091,SPYH,1077953
475,TCP_FreeBSD_Server.dot,70.9090909090909,SPYH,1136801
475,TCP_FreeBSD_Server.dot,72.72727272727273,SPYH,1330328
475,TCP_FreeBSD_Server.dot,74.54545454545455,SPYH,1451596
475,TCP_FreeBSD_Server.dot,76.36363636363637,SPYH,1568240
475,TCP_FreeBSD_Server.dot,78.18181818181819,SPYH,2124089
475,TCP_FreeBSD_Server.dot,80.0,SPYH,2214882
475,TCP_FreeBSD_Server.dot,85.45454545454545,SPYH,2402558
475,TCP_FreeBSD_Server.dot,87.27272727272727,SPYH,2601549
475,TCP_FreeBSD_Server.dot,89.0909090909091,SPYH,2693313
475,TCP_FreeBSD_Server.dot,90.9090909090909,SPYH,3387111
475,TCP_FreeBSD_Server.dot,92.72727272727272,SPYH,3455595
475,TCP_FreeBSD_Server.dot,94.54545454545455,SPYH,3931022
475,TCP_FreeBSD_Server.dot,96.36363636363636,SPYH,4200631
475,TCP_FreeBSD_Server.dot,98.18181818181819,SPYH,4654421
475,TCP_FreeBSD_Server.dot,100.0,SPYH,5061319
637,TCP_FreeBSD_Server.dot,1.8181818181818181,SPY,26
637,TCP_FreeBSD_Server.dot,10.909090909090908,SPY,907
637,TCP_FreeBSD_Server.dot,12.727272727272727,SPY,8498
637,TCP_FreeBSD_Server.dot,14.545454545454545,SPY,9284
637,TCP_FreeBSD_Server.dot,16.363636363636363,SPY,18711
637,TCP_FreeBSD_Server.dot,20.0,SPY,62120
637,TCP_FreeBSD_Server.dot,21.818181818181817,SPY,83136
637,TCP_FreeBSD_Server.dot,27.27272727272727,SPY,109829
637,TCP_FreeBSD_Server.dot,29.09090909090909,SPY,181961
637,TCP_FreeBSD_Server.dot,30.909090909090907,SPY,216334
637,TCP_FreeBSD_Server.dot,32.72727272727273,SPY,299287
637,TCP_FreeBSD_Server.dot,36.36363636363637,SPY,336241
637,TCP_FreeBSD_Server.dot,38.18181818181819,SPY,382207
637,TCP_FreeBSD_Server.dot,40.0,SPY,541118
637,TCP_FreeBSD_Server.dot,41.81818181818181,SPY,635752
637,TCP_FreeBSD_Server.dot,43.63636363636363,SPY,729336
637,TCP_FreeBSD_Server.dot,49.09090909090909,SPY,786427
637,TCP_FreeBSD_Server.dot,50.90909090909091,SPY,816354
637,TCP_FreeBSD_Server.dot,52.72727272727272,SPY,844101
637,TCP_FreeBSD_Server.dot,61.81818181818181,SPY,866496
637,TCP_FreeBSD_Server.dot,63.63636363636363,SPY,952176
637,TCP_FreeBSD_Server.dot,65.45454545454545,SPY,1026492
637,TCP_FreeBSD_Server.dot,67.27272727272727,SPY,1030251
637,TCP_FreeBSD_Server.dot,69.0909090909091,SPY,1227228
637,TCP_FreeBSD_Server.dot,70.9090909090909,SPY,1311876
637,TCP_FreeBSD_Server.dot,72.72727272727273,SPY,1370516
637,TCP_FreeBSD_Server.dot,74.54545454545455,SPY,1412389
637,TCP_FreeBSD_Server.dot,76.36363636363637,SPY,1475316
637,TCP_FreeBSD_Server.dot,78.18181818181819,SPY,1572782
637,TCP_FreeBSD_Server.dot,80.0,SPY,1871149
637,TCP_FreeBSD_Server.dot,81.81818181818183,SPY,2029910
637,TCP_FreeBSD_Server.dot,85.45454545454545,SPY,2252293
637,TCP_FreeBSD_Server.dot,87.27272727272727,SPY,2387862
637,TCP_FreeBSD_Server.dot,92.72727272727272,SPY,3225403
637,TCP_FreeBSD_Server.dot,94.54545454545455,SPY,3374672
637,TCP_FreeBSD_Server.dot,96.36363636363636,SPY,3864439
637,TCP_FreeBSD_Server.dot,98.18181818181819,SPY,4002462
637,TCP_FreeBSD_Server.dot,100.0,SPY,4313764
